产品编码,产品名称,产品参数,产品类型,价格,平均得分,好评率,差评率,好评数,中评数,差评数,追评数
sku_id,name,parameters2,brand,price,average_score,good_rate,poor_rate,good_count,general_count,poor_count,after_count
30113544,Rain in the Afternoon,[],数字内容,27.99,4,1,0,3,0,0,0
30391529,Connectedness and Contagion,[],数字内容,295.18,5,1,0,0,0,0,0
30391530,Contract Theory,[],数字内容,699.22,5,1,0,0,0,0,0
30391743,"Technology, Energy, and Health (Entering the Shift Age, eBook 6)",[],数字内容,7.69,5,1,0,0,0,0,0
30396219,CAM Coach,[],数字内容,110.02,5,1,0,0,0,0,0
5203020,老庙黄金足金999吊坠十字架1040000078  约3.4-3.9克,"[""商品名称：老庙吊坠"",""商品编号：5203020"",""商品毛重：60.00g"",""商品产地：中国上海"",""货号：1040000078"",""是否镶嵌：否"",""图案造型：其它"",""用途：自戴，馈赠，生日礼物"",""适用人群：女性"",""克重：3.1-5克""]",珠宝首饰,1369,5,0.98,0,40,1,0,0
3998956,赛菲尔黄金吊坠女款9999金项链吊坠纯足金蝶恋花系列珠宝送礼,"[""商品名称：赛菲尔黄金吊坠"",""商品编号：3998956"",""商品毛重：120.00g"",""商品产地：中国广东省深圳"",""货号：DDA05140"",""用途：自戴，婚庆，馈赠，生日礼物"",""图案造型：卡通"",""上市时间：2017秋季"",""是否镶嵌：否"",""适用人群：女性"",""克重：2克以内""]",珠宝首饰,710,5,0.979,0.011,500,6,7,4
11372677946,中国黄金  足金首饰足金如意算盘吊坠黄金饰品(计价） 4.71,"[""商品名称：中国黄金  足金首饰足金如意算盘吊坠黄金饰品(计价） 4.71"",""商品编号：11372677946"",""店铺： "",""商品毛重：100.00g"",""货号：GA0P121"",""是否镶嵌：否"",""图案造型：其它"",""用途：自戴，婚庆，馈赠，生日礼物"",""适用人群：女性"",""克重：3.1-5克""]",珠宝首饰,1625,5,0.966,0.017,100,2,2,1
1015177254,周生生 黄金足金长命锁吊坠黄金吊坠金锁宝宝儿童周岁礼小孩子首饰 09300P 计价 3.32克(折后工费49元),"[""商品名称：周生生 黄金足金长命锁吊坠黄金吊坠金锁宝宝儿童周岁礼小孩子首饰 09300P 计价 3.32克(折后工费49元)"",""商品编号：1015177254"",""店铺： "",""商品毛重：20.00g"",""货号：09300P"",""是否镶嵌：否"",""图案造型：其它"",""用途：自戴"",""适用人群：男宝宝"",""克重：2克以内""]",珠宝首饰,1214,5,0.985,0.006,4400,40,20,20
4946856,周大福（CHOW TAI FOOK）串珠 足金黄金手链 F157031 168 约9.9克 17.5cm,"[""商品名称：周大福黄金手链"",""商品编号：4946856"",""商品毛重：180.00g"",""商品产地：广东佛山"",""用途：自戴，婚庆，馈赠，生日礼物"",""图案造型：其它"",""是否镶嵌：否"",""规格：可调节"",""适用人群：女性"",""克重：5.1-10克""]",珠宝首饰,3609,5,0.992,0.001,600,5,1,7
10136699169,喜福龙 黄金戒指男 足金福字戒指黄金999百福戒指男款 金戒指男送爸爸  A3009 8.85克,"[""商品名称：喜福龙 黄金戒指男 足金福字戒指黄金999百福戒指男款 金戒指男送爸爸  A3009 8.85克"",""商品编号：10136699169"",""店铺： "",""商品毛重：500.00g"",""用途：自戴，馈赠，生日礼物"",""圈号：活口"",""图案造型：其它"",""是否镶嵌：否"",""适用人群：男性"",""克重：10.1-15克""]",珠宝首饰,2982,5,0.993,0,100,1,0,2
